"Note: This save file is in an old format, which is slightly different to the current one.",,,,,,,,
Note: This save file has no comments. No further files without comments will be added.,,,,,,,,
,,,,,,,,
0,,5,',',',',2,'
0,,5,',',',',2,'
0,,',',',3,',','
0,,',',',3,',','
0,,',',',',',1,1
0,,',',',',',4,4
0,,',',',',',','
,,,,,,,,
1,,5,',',',',2,'
1,,5,',',',',2,'
1,,',',',',',','
1,,',',',',',','
1,,',',',',',1,1
1,,',',',',',4,4
1,,',',',',',','
,,,,,,,,
2,,5,',',',',2,'
2,,5,',',',',2,'
2,,',',',',',','
2,,',',',',',','
2,,',',',',',','
2,,',',',',',4,4
2,,',',',',',','
,,,,,,,,
3,,5,',',',',2,'
3,,5,',',',',2,'
3,,',',',',',','
3,,',',',',',','
3,,',',',',',','
3,,',',',',',','
3,,',',',',',','
,,,,,,,,
4,,5,',',',',','
4,,5,',',',',','
4,,',',',',',','
4,,',',',',',','
4,,',',',',',','
4,,',',',',',','
4,,',',',',',','
,,,,,,,,
5,,1,1,',',',','
5,,1,',',',',','
5,,',',',',',','
5,,6,6,',',',','
5,,',',',2,',','
5,,',3,',2,',','
5,,',3,',',',','
,,,,,,,,
6,,1,1,',',',','
6,,1,',',',',','
6,,',',',',',','
6,,',',',',',','
6,,',',',2,',','
6,,',3,',2,',','
6,,',3,',',',','
,,,,,,,,
7,,1,1,',',',','
7,,1,',',',',','
7,,',',',',',','
7,,',',',',',','
7,,',',',',',','
7,,',3,',',',','
7,,',3,',',',','
,,,,,,,,
8,,1,1,',',',','
8,,1,',',',',','
8,,',',',',',','
8,,',',',',',','
8,,',',',',',','
8,,',',',',',','
8,,',',',',',','
,,,,,,,,
9,,1,',',',',','
9,,1,',',',',','
9,,',',',',',','
9,,',',',',',','
9,,',',',',',','
9,,',',',',',','
9,,',',',',',','
,,,,,,,,
1,,2,',',',',','
1,,2,',',',',','
1,,',',',',1,1,'
1,,',',',',1,','
1,,3,',',',',','
1,,3,',',',',4,'
1,,',',',',',4,'
,,,,,,,,
11,,2,',',',',','
11,,2,',',',',','
11,,',',',',1,1,'
11,,',',',',1,','
11,,',',',',',','
11,,',',',',',4,'
11,,',',',',',4,'
,,,,,,,,
12,,2,',',',',','
12,,2,',',',',','
12,,',',',',1,','
12,,',',',',1,','
12,,',',',',',','
12,,',',',',',4,'
12,,',',',',',4,'
,,,,,,,,
13,,2,',',',',','
13,,2,',',',',','
13,,',',',',',','
13,,',',',',',','
13,,',',',',',','
13,,',',',',',4,'
13,,',',',',',4,'
,,,,,,,,
14,,2,',',',',','
14,,2,',',',',','
