These are the time steps.,,And this is the grid for that step.,,,,,,,,,,You can write your comments here.
,,"The numbers represent the groups, instead of the colours and Greek letters.",,,,,,,,,,
,,A ' means empty.,,,,,,,,,,
,,,,,,,,,,,,
0,,,1,',',',3,',',,,"Group 4 lies between 2 and 3, and so is a bit risky. So I remove it."
,,,1,',',',3,',',,,
,,,',',',',3,',',,,
,,,',',',',3,',',,,
,,,',',',',',',',,,
,,,2,',',',',',',,,
,,,2,',',4,4,',',,,
,,,,,,,,,,,,
1,,,1,',',',3,',',,,Group 3 is a bit big. I'll reduce it to just two squares.
,,,1,',',',3,',',,,I do this to make it move away from 1.
,,,',',',',3,',',,,
,,,',',',',3,',',,,
,,,',',',',',',',,,
,,,2,',',',',',',,,
,,,2,',',',',',',,,
,,,,,,,,,,,,
2,,,1,',',',',',',,,
,,,1,',',',3,',',,,
,,,',',',',3,',',,,
,,,',',',',3,',',,,
,,,',',',',',',',,,
,,,2,',',',',',',,,
,,,2,',',',',',',,,
,,,,,,,,,,,,
3,,,1,',',',',',',,,Last step before new numbers. Let's get rid of a group
,,,1,',',',',',',,,"1 and 2 are safely in the corners, so let's go for 3."
,,,',',',',3,',',,,
,,,',',',',3,',',,,
,,,',',',',',',',,,
,,,2,',',',',',',,,
,,,2,',',',',',',,,
,,,,,,,,,,,,
4,,,1,',',',',',',,,
,,,1,',',',',',',,,
,,,',',',',',',',,,
,,,',',',',',',',,,
,,,',',',',',',',,,
,,,2,',',',',',',,,
,,,2,',',',',',',,,
,,,,,,,,,,,,
5,,,1,',3,3,',',',,,4 is too big. Let's shrink it away from 3.
,,,1,',',',4,',',,,
,,,',',',',4,',',,,
,,,',',',4,4,',',,,
,,,',',',',',',',,,
,,,2,',',',5,5,',,,
,,,2,2,',',',',',,,
,,,,,,,,,,,,
6,,,1,',3,3,',',',,,And so on. The example ends here.
,,,1,',',',',',',,,
,,,',',',',4,',',,,
,,,',',',4,4,',',,,
,,,',',',',',',',,,
,,,2,',',',5,5,',,,
,,,2,2,',',',',',,,
